Date	DoW M=1	Debit	Credit
43070	5	-48	
43070	5	-6.41	
43070	5	-2000	
43070	5	-1114.79	
43070	5	-2.99	
43069	4	-53.02	
43069	4	-8.55	
43069	4	-12.99	12.99
43069	4	-12.99	
43069	4	0	125
43069	4	-1128.97	1128.97
43069	4	-16.02	
43069	4	0	1802.72
43069	4	-5.49	
43068	3	-7.37	
43068	3	-40.71	
43068	3	-67.3	
43067	2	-31.2	
43067	2	-18.31	
43067	2	-66.37	
43067	2	-15.25	
43067	2	-4.11	
43067	2	-2.35	
43066	1	-4.11	
43066	1	-19	
43066	1	-5	
43066	1	-43.69	
43065	7	-13.64	
43065	7	-16.62	
43065	7	-43.5	
43065	7	-6.86	
43065	7	-84.39	
43064	6	-152.98	
43064	6	-9	
43063	5	-35.62	
43063	5	0	335.21
43062	4	0	
43061	3	-61	
43061	3	-113	
43061	3	-57.73	
43061	3	-398	398
43061	3	0	2036.19
43060	2	-30.5	
43060	2	-6.41	
43060	2	-3.63	
43059	1	-7.7	
43059	1	-50	
43059	1	0	5.63
43058	7	-29	
43058	7	-11.96	
43058	7	0	4
43058	7	-199	
43058	7	-199	
43057	6	-45	
43057	6	-70.92	
43057	6	-16.02	
43056	5	-63	
43056	5	-41.23	
43055	4	-35	
43055	4	-2310.47	2310.47
43055	4	-20	20
43055	4	0	1802.73
43054	3	0	
43054	3	0	57
43054	3	-22.41	
43053	2	-5.87	
43053	2	-382.21	382.21
43053	2	-105.81	
43052	1	-57.77	
43052	1	-1	
43052	1	-20.55	
43052	1	-28.39	
43052	1	-11.52	
43052	1	-23.3	
43052	1	-172.22	
43052	1	-24.05	
43052	1	-97.5	
43051	7	-2.9	
43051	7	-20	20
43051	7	-17	
43051	7	-168	
43051	7	-8.54	
43051	7	-8.06	
43051	7	-4.24	
43051	7	-44.99	
43050	6	-5.6	
43050	6	-49.35	
43050	6	-72.32	
43050	6	-61.26	
43050	6	-11.63	
43049	5	-50.76	
43048	4	-12.99	12.99
43048	4	0	
43048	4	-270.62	
43047	3	-53.32	
43047	3	-426.54	
43046	2	-16.02	
43046	2	0	2036.19
43045	1	-19.39	
43045	1	-123.19	
43045	1	-12.86	
43045	1	-5	
43045	1	-428.69	400
43045	1	-17.15	
43044	7	-19.96	
43044	7	-71.83	
43044	7	-70.12	
43044	7	-4.28	
43044	7	-29.07	
43044	7	-35.91	
43044	7	-12.99	
43044	7	-165	
43043	6	0	33.74
43042	5	-5.48	
43042	5	-10.5	
43042	5	-2.9	
43042	5	-92.28	
43042	5	-14.95	
43042	5	-29.99	
43042	5	-19.1	
43042	5	-11.2	
43041	4	-22.73	
43041	4	-21.86	
43041	4	-12.75	
43041	4	-7.43	
43041	4	-40	
43041	4	-40	40
43041	4	0	249
43041	4	0	1802.72
43040	3	-1950	
43040	3	-1114	
43040	3	-2.99	
43039	2	-9	
43039	2	-83	
43039	2	-2.9	
43039	2	-2.9	
43039	2	-21.59	
43039	2	-25.8	
43039	2	-41.54	41.54
43039	2	-230.21	230.21
43039	2	-5.49	
43038	1	-19.99	
43038	1	-55.94	
43038	1	-12.99	12.99
43038	1	-12.99	
43037	7	-9.3	
43037	7	-25.73	
43037	7	-70.76	
43037	7	-41.54	
43037	7	-20	20
43036	6	-68.38	
43036	6	-12.64	
43036	6	-15.94	
43036	6	-801.75	801.75
43035	5	-9.99	
43034	4	-60	
43034	4	-22.98	
43034	4	-5.35	
43034	4	0	196
43033	3	-5.33	
43033	3	-22.38	
43033	3	-7.1	
43033	3	-6.1	
43033	3	-5	
43033	3	-203.31	200
43032	2	-25.15	
43032	2	-89.74	
43032	2	-1.76	
43032	2	-20	20
43031	1	-22.73	
43031	1	-20.98	
43030	7	-28.38	
43030	7	-45	
43030	7	-6.5	
43030	7	-4	
43030	7	-8	
43030	7	-1.54	
43030	7	-4	
43030	7	-1.9	
43030	7	-9.78	
43030	7	-20	20
43029	6	-19.99	
43028	5	-93.72	
43028	5	-20.67	
43028	5	-26.01	
43028	5	-24.24	
43028	5	-1.7	
43028	5	-4	
43028	5	-1.19	
43028	5	-4	
43028	5	-4	
43028	5	-6.5	
43028	5	0	5.26
43028	5	-22.71	
43028	5	0	2036.17
43027	4	-9.93	
43027	4	-17.37	
43027	4	-59.49	
43027	4	-10	
43027	4	-35	
43027	4	-20	20
43027	4	-22.73	
43027	4	0	200
43027	4	-3324.15	3324.15
43027	4	-40.15	
43027	4	-1.39	
43027	4	0	1802.72
43026	3	-11.34	
43026	3	-15.76	
43026	3	-6	
43026	3	-4.5	
43026	3	-17	
43026	3	-3	
43026	3	-7	
43026	3	-16.02	
43025	2	-1	
43025	2	-22.73	
43025	2	-9.58	
43025	2	-14.08	
43025	2	-64	
43025	2	-3.74	
43025	2	-1.39	
43024	1	-3.14	
43024	1	-534.36	
43024	1	-9.4	
43024	1	-64	
43024	1	-3.35	
43024	1	-4.82	
43024	1	-30.83	
43024	1	-26.68	
43024	1	-20	
43024	1	-10.62	
43024	1	-6	
43023	7	-17.96	
43023	7	-3	
43023	7	-14.32	
43023	7	-7.19	
43023	7	-38.17	
43023	7	-44	
43023	7	-16	
43023	7	-30	
43023	7	-22.41	
43022	6	-38	
43022	6	-80.65	
43022	6	-13.91	
43022	6	-60	
43022	6	-5.5	
43021	5	-65	
43021	5	-165	65
43021	5	-11.77	
43021	5	-14.28	
43021	5	-97.52	
43020	4	-90	
43020	4	-68	
43020	4	-77	
43020	4	-9.9	
43020	4	-16.66	
43020	4	-44.99	44.99
43020	4	0	171.72
43020	4	-44.99	
43019	3	-22	
43019	3	-63	
43019	3	-126	63
43019	3	-27.13	
43019	3	-378	378
43019	3	-185	
43019	3	-189	
43019	3	-189	
43018	2	-19	
43018	2	-12	
43018	2	-23.79	
43018	2	-5.5	
43017	1	-60	
43017	1	-53.48	
43017	1	-12.97	
43017	1	-5	
43017	1	-14.3	
43017	1	-189.98	189.98
43017	1	-189.98	
43016	7	-3	
43016	7	-108	
43016	7	-1	
43016	7	-25.27	
43016	7	-5	
43015	6	-147	
43015	6	-78	
43015	6	-50	
43015	6	-6.49	
43015	6	-18	
43015	6	-12.35	
43014	5	-63	
43014	5	-55.17	
43014	5	-31.8	
43014	5	-2.1	
43014	5	-70	
43014	5	-13.57	
43014	5	-16.02	
43014	5	-46.24	
43014	5	0	2036.19
43013	4	-3.5	
43013	4	-4.46	
43013	4	-12.81	
43013	4	-165	165
43013	4	-4.11	
43013	4	-12.99	12.99
43013	4	-1.76	
43013	4	-12.99	
43013	4	-165	
43013	4	-25.97	
43013	4	0	1802.72
43013	4	-15.25	
43012	3	-11.01	
43012	3	-5.82	
43011	2	-21.46	
43011	2	-2.94	
43010	1	-22.94	
43010	1	-2.4	
43010	1	-4.11	
43010	1	-2.08	
43010	1	-45	
43010	1	-5.49	
43009	7	-16.84	
43009	7	-6.65	
43009	7	-85.49	
43009	7	-53	
43009	7	-20	
43009	7	-6.5	
43009	7	-1950	
43009	7	-1114	
43009	7	-2.99	
43008	6	-110	
43008	6	-11.2	
43008	6	-78	
43008	6	-32.23	
43008	6	-81.2	
43008	6	0	39.99
43008	6	-22.52	
43007	5	-25	
43007	5	-13	
43007	5	-40	
43006	4	-117.16	117.16
43006	4	-12.99	
43005	3	-37	
43005	3	0	20
43005	3	-4192.17	4192.17
43004	2	-20.9	
43004	2	-1.39	
43003	1	-13.22	
43003	1	-13	
43002	7	-10.99	
43002	7	-3.85	
43002	7	-4.81	
43002	7	-226.8	
43002	7	-9.22	
43002	7	0	100
43001	6	-10.99	
43001	6	-10.49	
43001	6	-6.41	
43001	6	-60	
43001	6	-38	
43001	6	-4	
43001	6	-3	
43001	6	-10.9	
43000	5	-21.81	
43000	5	-10.99	
43000	5	-29.62	
43000	5	-5.61	
43000	5	-1.39	
43000	5	-9	
43000	5	0	2036.19
42999	4	-8.55	
42999	4	-37.97	
42999	4	-1.39	
42999	4	0	1795.33
42998	3	-10.99	
42998	3	-39.59	
42998	3	-10	
42998	3	-27.56	
42998	3	0	5.35
42997	2	-76.53	
42997	2	-2	
42997	2	-5	
42997	2	-12.51	
42997	2	0	6.15
42997	2	0	20
42997	2	0	20
42996	1	-35.18	
42996	1	-1	
42996	1	-1	
42996	1	-40.23	
42996	1	-5.75	
42996	1	-3.14	
42996	1	-5	
42996	1	-104.57	100
42996	1	-162.2	
42996	1	-2279.16	
42996	1	0	1
42996	1	-7.5	
42996	1	-16.02	
42995	7	-57.08	
42995	7	-27.66	
42994	6	-61.51	
42994	6	-83.27	
