Date	DoW.M=1	NetSpend
19-Jul-16	2	-5.97
20-Jul-16	3	0
21-Jul-16	4	-45.92
22-Jul-16	5	-113.00
23-Jul-16	6	-211.23
24-Jul-16	7	-150.40
25-Jul-16	1	-37.61
26-Jul-16	2	-16.91
27-Jul-16	3	-22.71
28-Jul-16	4	-167.87
29-Jul-16	5	-78.65
30-Jul-16	6	-94.80
31-Jul-16	7	-94.27
1-Aug-16	1	-25.67
2-Aug-16	2	0
3-Aug-16	3	0
4-Aug-16	4	-34.02
5-Aug-16	5	-55.45
6-Aug-16	6	-195.99
7-Aug-16	7	-117.79
8-Aug-16	1	-101.98
9-Aug-16	2	-9.51
10-Aug-16	3	-7.16
11-Aug-16	4	-131.09
12-Aug-16	5	-140.22
13-Aug-16	6	-114.16
14-Aug-16	7	-239.52
15-Aug-16	1	-95.82
16-Aug-16	2	-34.18
17-Aug-16	3	-164.47
18-Aug-16	4	-62.86
19-Aug-16	5	-15.39
20-Aug-16	6	-81.23
21-Aug-16	7	-33.10
22-Aug-16	1	-146.63
23-Aug-16	2	-38.13
24-Aug-16	3	-102.65
25-Aug-16	4	-8.03
26-Aug-16	5	-95.00
27-Aug-16	6	-228.69
28-Aug-16	7	-160.95
29-Aug-16	1	-65.64
30-Aug-16	2	-162.13
31-Aug-16	3	-88.29
1-Sep-16	4	-104.50
2-Sep-16	5	-112.94
3-Sep-16	6	-256.19
4-Sep-16	7	-72.99
5-Sep-16	1	-15.15
6-Sep-16	2	-362.27
7-Sep-16	3	-202.37
8-Sep-16	4	63.34
9-Sep-16	5	-72.00
10-Sep-16	6	-53.84
11-Sep-16	7	-195.24
12-Sep-16	1	-104.54
13-Sep-16	2	-187.57
14-Sep-16	3	-128.46
15-Sep-16	4	-30.72
16-Sep-16	5	-101.40
17-Sep-16	6	-139.58
18-Sep-16	7	-182.57
19-Sep-16	1	-45.00
20-Sep-16	2	-59.83
21-Sep-16	3	-26.08
22-Sep-16	4	-102.24
23-Sep-16	5	-105.51
24-Sep-16	6	-13.00
25-Sep-16	7	-202.15
26-Sep-16	1	-61.81
27-Sep-16	2	-27.13
28-Sep-16	3	-36.59
29-Sep-16	4	-19.00
30-Sep-16	5	-117.96
1-Oct-16	6	-38.22
2-Oct-16	7	-121.30
3-Oct-16	1	-274.32
4-Oct-16	2	-64.97
5-Oct-16	3	-279.00
6-Oct-16	4	-12.99
7-Oct-16	5	-79.50
8-Oct-16	6	-196.06
9-Oct-16	7	-169.93
10-Oct-16	1	-8.75
11-Oct-16	2	-40.04
12-Oct-16	3	-36.16
13-Oct-16	4	-148.26
14-Oct-16	5	-141.24
15-Oct-16	6	-38.42
16-Oct-16	7	-140.67
17-Oct-16	1	-12.49
18-Oct-16	2	-7.41
19-Oct-16	3	-49.48
20-Oct-16	4	-20.00
21-Oct-16	5	-126.20
22-Oct-16	6	-35.65
23-Oct-16	7	-133.34
24-Oct-16	1	-80.50
25-Oct-16	2	-24.73
26-Oct-16	3	-212.24
27-Oct-16	4	-38.37
28-Oct-16	5	-162.04
29-Oct-16	6	-18.22
30-Oct-16	7	-146.84
31-Oct-16	1	-37.93
1-Nov-16	2	-16.99
2-Nov-16	3	-105.92
3-Nov-16	4	-21.81
4-Nov-16	5	-60.97
5-Nov-16	6	-119.75
6-Nov-16	7	-170.59
7-Nov-16	1	-16.39
