Dates	Day of the Week, M=1	Weekday	Count	Net Changes
42140	6	FALSE	2	-45.8
42141	7	FALSE	4	-94.61
42142	1	TRUE	3	-142.4
42143	2	TRUE	1	-5.82
42144	3	TRUE	6	-65.74
42145	4	TRUE	3	-53.47
42146	5	TRUE	4	-82.16
42147	6	FALSE	6	-172.37
42148	7	FALSE	7	-117.89
42149	1	TRUE	3	-42.93
42150	2	TRUE	1	-5.82
42151	3	TRUE	1	-5.82
42152	4	TRUE	2	-18.81
42153	5	TRUE	6	-163.73
42154	6	FALSE	13	-337.65
42155	7	FALSE	14	-467.97
42156	1	TRUE	4	-101.19
42157	2	TRUE	9	-186.33
42158	3	TRUE	4	-11.16
42159	4	TRUE	6	-61.79
42160	5	TRUE	10	-99.18
42161	6	FALSE	1	0
42162	7	FALSE	2	-65.83
42163	1	TRUE	2	-19.27
42164	2	TRUE	4	-145.43
42165	3	TRUE	3	-59.31
42166	4	TRUE	1	0
42167	5	TRUE	1	0
42168	6	FALSE	2	-80.34
42169	7	FALSE	2	-6.09
42170	1	TRUE	5	-138.01
42171	2	TRUE	2	0
42172	3	TRUE	2	-41
42173	4	TRUE	2	-34.65
42174	5	TRUE	2	-22.88
42175	6	FALSE	3	-106.62
42176	7	FALSE	5	-80.71
42177	1	TRUE	1	-20
42178	2	TRUE	2	-18.89
42179	3	TRUE	9	-321.47
42180	4	TRUE	1	-9.95
42181	5	TRUE	4	-49.12
42182	6	FALSE	4	-99.06
42183	7	FALSE	2	-18.99
42184	1	TRUE	2	-18.43
42185	2	TRUE	2	-15.82
42186	3	TRUE	4	-99.72
42187	4	TRUE	3	-29.69
42188	5	TRUE	5	-89.2
42189	6	FALSE	5	-238.1
42190	7	FALSE	4	-42.52
42191	1	TRUE	1	-5.82
42192	2	TRUE	4	-46.8
42193	3	TRUE	3	-56.49
42194	4	TRUE	2	-27.25
42195	5	TRUE	4	-78.89
42196	6	FALSE	5	-250.12
42197	7	FALSE	4	-63.55
42198	1	TRUE	2	9.18
42199	2	TRUE	3	-36.72
42200	3	TRUE	2	-75.59
42201	4	TRUE	3	-17.29
42202	5	TRUE	5	-57.5
42203	6	FALSE	4	-163.1
42204	7	FALSE	6	-217.25
42205	1	TRUE	2	-14.97
42206	2	TRUE	4	-132.85
42207	3	TRUE	5	-97.34
42208	4	TRUE	7	-60.58
42209	5	TRUE	3	-13.39
42210	6	FALSE	6	-85.01
42211	7	FALSE	5	-94.09
42212	1	TRUE	2	-10.82
42213	2	TRUE	4	-30.11
42214	3	TRUE	4	-380.85
42215	4	TRUE	3	-27.32
42216	5	TRUE	4	-90.19
42217	6	FALSE	2	-18.9
42218	7	FALSE	5	-190.66
42219	1	TRUE	2	-29.78
42220	2	TRUE	5	-109
42221	3	TRUE	3	-70.44
42222	4	TRUE	1	-12.99
42223	5	TRUE	7	-99.62
42224	6	FALSE	1	-22.12
42225	7	FALSE	3	-47.14
42226	1	TRUE	5	-118.98
42227	2	TRUE	1	-5.82
42228	3	TRUE	2	-30.74
42229	4	TRUE	3	-183.66
42230	5	TRUE	4	-143.23
42231	6	FALSE	4	-99.92
42232	7	FALSE	5	-80.02
42233	1	TRUE	4	-74.22
42234	2	TRUE	5	-114.07
42235	3	TRUE	1	-5.82
42236	4	TRUE	3	-55.7
42237	5	TRUE	3	-34.77
42238	6	FALSE	4	-287.81
42239	7	FALSE	8	-154.19
42240	1	TRUE	3	-54.5
42241	2	TRUE	3	-33.31
42242	3	TRUE	3	-16.16
42243	4	TRUE	2	-8.82
42244	5	TRUE	4	-29.71
42245	6	FALSE	9	-216.28
42246	7	FALSE	8	-503.13
42247	1	TRUE	6	-127.7
42248	2	TRUE	2	-19.06
42249	3	TRUE	3	-70.05
42250	4	TRUE	1	0
42251	5	TRUE	5	-66.3
42252	6	FALSE	2	-60.75
42253	7	FALSE	9	-453.86
42254	1	TRUE	2	-29.99
42255	2	TRUE	4	-165.81
42256	3	TRUE	1	-5.82
42257	4	TRUE	8	40.36
42258	5	TRUE	8	-195.26
42259	6	FALSE	6	-143.06
42260	7	FALSE	7	-106.39
42261	1	TRUE	4	-240.51
42262	2	TRUE	3	-66.82
42263	3	TRUE	6	-97.85
42264	4	TRUE	3	-31.82
42265	5	TRUE	2	-27.5
42266	6	FALSE	2	-75.68
42267	7	FALSE	7	-148.34
42268	1	TRUE	2	-42.57
42269	2	TRUE	2	-15.72
42270	3	TRUE	5	-53.04
42271	4	TRUE	4	-37.32
42272	5	TRUE	3	-35.17
42273	6	FALSE	3	-135.68
42274	7	FALSE	5	-109.61
42275	1	TRUE	2	-40.38
42276	2	TRUE	3	-50.26
42277	3	TRUE	4	-93.22
42278	4	TRUE	4	-86.82
42279	5	TRUE	3	-33.48
42280	6	FALSE	3	-70.48
42281	7	FALSE	2	-112.59
42282	1	TRUE	5	-60.42
42283	2	TRUE	4	-61.47
42284	3	TRUE	5	-64.07
42285	4	TRUE	6	-46.7
42286	5	TRUE	6	-59.86
42287	6	FALSE	2	-100.26
42288	7	FALSE	5	-39.82
42289	1	TRUE	2	-26.31
